angle, ax, az, gy, dt
-1.7569, 2312, 15312, -396, 0.0030
-1.8796, 2252, 15164, -360, 0.0040
-1.9506, 2320, 15108, -320, 0.0030
-2.2243, 2392, 15108, -288, 0.0040
-2.0247, 2212, 15104, -284, 0.0030
-1.9706, 2372, 15160, -254, 0.0030
-2.1907, 2348, 15220, -242, 0.0040
-2.1539, 2348, 15132, -206, 0.0030
-2.2015, 2348, 15052, -209, 0.0040
-2.2346, 2360, 15092, -150, 0.0030
-2.0601, 2272, 15164, -155, 0.0030
-1.7757, 2212, 15132, -148, 0.0040
-1.7766, 2268, 15132, -105, 0.0030
-1.9252, 2292, 15128, -99, 0.0040
-1.7984, 2224, 15300, -101, 0.0030
-1.6372, 2208, 15144, -68, 0.0030
-1.8160, 2304, 15184, -43, 0.0040
-1.9598, 2292, 15184, -22, 0.0030
-1.9700, 2276, 14960, -13, 0.0030
-2.1618, 2396, 15184, 10, 0.0040
-2.1702, 2312, 15164, 54, 0.0030
-2.1173, 2360, 15132, 99, 0.0030
-2.7133, 2632, 15140, 110, 0.0040
-2.8567, 2436, 15120, 151, 0.0030
-2.7386, 2576, 15184, 225, 0.0030
-2.6936, 2384, 14944, 221, 0.0030
-2.2616, 2344, 15200, 269, 0.0040
-2.1613, 2360, 15132, 267, 0.0030
-2.3981, 2448, 15048, 300, 0.0030
-2.4251, 2396, 15264, 322, 0.0040
-2.1601, 2324, 15168, 344, 0.0030
-1.8994, 2236, 15144, 354, 0.0030
-1.8502, 2284, 15076, 372, 0.0040
-1.6913, 2156, 15184, 366, 0.0030
-1.5392, 2232, 15284, 355, 0.0030
-1.5030, 2132, 15148, 384, 0.0040
-1.4159, 2168, 15168, 362, 0.0030
-1.5893, 2224, 15140, 397, 0.0030
-1.6123, 2188, 15216, 387, 0.0040
-1.6096, 2232, 15204, 412, 0.0030
-1.8109, 2308, 15288, 448, 0.0030
-1.9067, 2272, 15120, 426, 0.0040
-1.8181, 2232, 15100, 468, 0.0030
-1.7700, 2228, 15000, 487, 0.0030
-1.8390, 2260, 15032, 515, 0.0040
-1.9030, 2272, 15064, 498, 0.0030
-1.9478, 2312, 15220, 541, 0.0030
-2.0213, 2332, 15188, 588, 0.0040
-1.9583, 2272, 15180, 569, 0.0030
-1.8829, 2292, 15200, 590, 0.0030
-1.7972, 2220, 15136, 569, 0.0040
-1.6852, 2232, 15204, 614, 0.0030
-1.8810, 2316, 15076, 621, 0.0030
-2.0681, 2312, 15056, 643, 0.0040
-1.6770, 2132, 15264, 614, 0.0030
-1.4071, 2180, 15152, 674, 0.0030
-1.2888, 2056, 15168, 651, 0.0040
-1.3212, 2176, 15004, 669, 0.0030
-1.4550, 2120, 15116, 672, 0.0030
-1.4161, 2176, 15140, 696, 0.0040
-1.2584, 2016, 14972, 692, 0.0030
-1.2415, 2168, 15156, 693, 0.0030
-1.3138, 2088, 15208, 693, 0.0040
-1.3071, 2172, 15208, 728, 0.0030
-1.3078, 2088, 15212, 719, 0.0030
-1.2532, 2160, 15324, 733, 0.0040
-1.2486, 2096, 15288, 731, 0.0030
-1.3009, 2152, 15076, 742, 0.0030
-1.2738, 2068, 15180, 759, 0.0040
-1.3147, 2196, 15228, 766, 0.0030
-1.5784, 2196, 15088, 778, 0.0030
-1.4606, 2132, 15216, 804, 0.0040
-1.4388, 2192, 15140, 809, 0.0030
-1.4885, 2160, 15232, 827, 0.0030
-1.3234, 2120, 15252, 823, 0.0040
-1.2916, 2136, 15184, 828, 0.0030
