0,kd: 14.00, angle_mean: -2.0122, angle_summ: -10.0608, angle_diff: 16.9470, power: 208.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 3.3502, angle_summ: 16.7511, angle_diff: -15.3372, power: -167.38
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -4.9700, angle_summ: -24.8501, angle_diff: 12.2870, power: 101.79
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 0.5475, angle_summ: 2.7373, angle_diff: -9.7669, power: -129.00
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -5.8955, angle_summ: -29.4776, angle_diff: -10.5731, power: -231.33
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.5798, angle_summ: -67.8989, angle_diff: 2.2277, power: -160.69
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -12.7925, angle_summ: -63.9627, angle_diff: -3.9528, power: -236.10
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -15.9299, angle_summ: -79.6495, angle_diff: 1.4685, power: -204.53
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -11.8231, angle_summ: -59.1154, angle_diff: 3.4203, power: -119.18
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -5.1914, angle_summ: -25.9569, angle_diff: 7.3218, power: 29.15
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 4.7833, angle_summ: 23.9166, angle_diff: 13.7121, power: 259.56
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 13.6218, angle_summ: 68.1092, angle_diff: 11.0170, power: 346.71
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 26.8515, angle_summ: 134.2574, angle_diff: 12.8720, power: 559.62
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 23.4421, angle_summ: 117.2105, angle_diff: -9.1310, power: 203.40
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 22.7712, angle_summ: 113.8558, angle_diff: -5.9852, power: 237.96
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 17.6673, angle_summ: 88.3363, angle_diff: -3.7160, power: 197.62
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 8.3730, angle_summ: 41.8648, angle_diff: -17.1379, power: -121.62
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -0.5372, angle_summ: -2.6859, angle_diff: 5.9960, power: 76.35
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -6.3504, angle_summ: -31.7518, angle_diff: -15.5588, power: -307.55
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -11.1161, angle_summ: -55.5806, angle_diff: -5.5626, power: -234.95
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -22.6629, angle_summ: -113.3147, angle_diff: -6.5316, power: -411.67
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -22.5078, angle_summ: -112.5390, angle_diff: -5.8064, power: -399.32
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -26.4334, angle_summ: -132.1671, angle_diff: 8.3555, power: -256.53
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -24.3931, angle_summ: -121.9656, angle_diff: -7.0512, power: -443.39
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -24.0995, angle_summ: -120.4974, angle_diff: 9.2380, power: -211.19
