236,-17036,-157,287,119
-324,240,-17180,-134,257,111
-344,196,-17368,-162,265,134
-336,160,-17344,-173,271,121
-316,332,-17180,-177,275,131
-308,308,-17308,-144,288,105
-304,192,-17448,-164,258,111
-384,240,-17284,-206,264,103
-300,312,-17080,-157,223,122
-440,228,-17164,-178,189,127
-320,260,-17376,-162,233,101
-276,216,-17300,-172,224,124
-340,108,-17228,-182,232,110
-440,240,-17256,-175,231,127
-332,212,-17464,-166,284,135
-348,128,-17288,-157,276,138
-352,220,-17156,-169,277,107
-448,256,-17172,-159,284,124
-416,296,-17364,-166,261,124
-320,172,-17236,-158,257,100
-324,212,-17260,-170,238,95
-308,260,-17060,-146,207,110
-400,256,-17276,-194,215,115
-348,196,-17352,-150,237,118
-368,244,-17152,-180,210,142
-332,204,-17120,-149,255,114
-324,188,-17180,-166,231,103
-304,304,-17204,-179,305,104
-328,136,-17088,-179,260,126
-244,280,-17016,-155,225,122
-320,96,-17276,-154,256,104
-340,324,-17240,-169,248,134
-368,268,-17264,-153,253,116
-372,208,-17348,-170,253,123
-400,220,-17268,-151,253,95
-288,128,-17144,-178,273,128
-384,240,-17452,-186,270,125
-296,160,-16960,-163,288,99
-372,240,-17244,-167,226,110
-444,232,-17264,-189,259,125
-344,188,-17228,-158,228,102
-264,240,-17120,-163,218,128
-340,276,-17232,-175,234,114
-332,120,-17304,-159,247,107
-408,220,-17276,-173,247,110
-300,240,-17184,-162,232,96
-372,312,-17224,-167,256,110
-404,196,-17284,-161,290,103
-304,368,-17216,-149,271,111
-372,260,-17188,-182,248,147
-424,280,-17376,-177,277,122
-284,252,-17260,-171,262,102
-356,200,-17220,-168,250,139
-376,276,-17092,-162,220,138
-380,172,-17260,-150,226,96
-420,260,-17188,-186,270,103
-272,184,-17040,-156,219,141
-312,268,-17184,-151,261,127
-276,196,-17164,-156,264,92
-400,124,-17100,-149,265,107
-344,256,-17256,-190,305,129
-304,344,-17196,-138,228,119
-320,352,-17164,-173,246,98
-312,84,-17256,-162,275,146
-364,248,-17152,-179,227,92
-384,224,-17088,-175,210,120
-356,212,-17204,-154,253,111
-400,180,-17300,-181,246,111
-396,172,-17300,-171,267,135
-404,252,-17168,-169,238,111
-408,308,-17356,-158,304,120
-244,184,-17212,-145,254,129
-280,140,-17244,-174,256,124
-352,268,-17264,-171,237,104
-348,276,-17248,-159,226,136
-408,220,-17396,-176,258,114
-360,232,-17264,-164,225,111
-368,176,-16972,-142,217,134
-372,248,-17172,-170,246,108
-388,204,-17344,-170,258,89
-412,172,-17116,-171,278,141
-404,324,-17164,-177,262,121
-364,292,-17108,-171,281,107
-396,140,-17288,-156,262,134
-324,136,-17384,-160,238,110
-360,344,-17120,-156,249,103
-368,256,-17236,-157,243,112
-356,300,-17204,-163,254,112
-332,116,-17248,-156,235,99
-316,204,-17204,-157,241,139
-296,228,-17104,-136,260,145
-404,164,-17216,-156,323,78
-336,212,-17172,-169,266,106
-296,248,-17088,-165,269,152
-396,292,-17232,-134,280,108
-352,204,-17200,-143,290,130
-324,260,-17252,-149,253,126
-324,304,-17388,-167,263,110
-492,244,-17144,-149,251,129
-328,228,-17228,-169,250,108
-416,208,-17240,-172,255,124
-348,268,-17072,-185,253,122
-364,248,-17164,-142,267,143
-280,332,-17284,-145,287,104
-320,188,-17068,-165,277,134
-384,200,-17136,-154,228,132
-268,212,-17220,-145,253,90
-332,292,-17236,-161,233,126
-304,196,-17284,-181,237,113
-500,212,-17252,-173,214,120
-364,304,-17188,-142,230,82
-308,280,-17132,-162,259,126
